mlp2_final	1.684840	hurdle-mlp 512,256 bce_w0.7 do0.15 lr0.001 bs8192 gap30 seeds=42,1337 10anch ep=[8, 2]
c_cand	1.675002	blend of 7: {'mlp2_final': 1.0} scale=0.940
mlp2_final_cal	1.672649	binned log-shift calibration of mlp2_final; holdout 1.685520->1.673592
seq2tr	1.694868	seq2 tr b2048 lr0.001 ep8 clean=1 seeds=42,1337 best_steps=[2000, 4000] per_seed=[1.70156, 1.69138]
seq2tr_f	1.710203	seq2 tr b2048 lr0.001 ep3 clean=1 seeds=42,1337 best_steps=[2952, 2000] per_seed=[1.72236, 1.70062]
febspec	1.826551	Feb2025->Mar seasonal specialist: 3 anchors 2025-02-06..20, 53 short<=42d feats, tweedie1.3 on log1p nl127 mdl300 lr.05 1500it fixed; off-season val; aux 2026-01-07=1.833662
twd_b1	1.693286	lgb/log_mse
twd_b2	1.694639	lgb/log_mse
twd_b3	1.693543	lgb/log_mse
twd_b4	1.694021	lgb/log_mse
twd_b5	1.694640	lgb/log_mse
twdeep	1.692512	bag of 5 deep tweedie (seeds+anchors)
c_ts2_s1337	1.693996	lgb/two_stage
mlp2_big	1.682081	hurdle-mlp 512,256 bce_w0.7 do0.15 lr0.001 bs8192 gap30 seeds=42,1337,7 14anch ep=[1, 9, 1]
caruana_v1	1.623983	bagged Caruana B=20 steps=40 lib=22 top={'xgblog_final': 0.548, 'lgblog_final': 0.388, 'mlp_final': 0.039, 'mlp2_big': 0.015, 'mlp2_final_cal': 0.006, 'gru_final': 0.005}
mlp2_big_cal	1.672154	binned log-shift calibration of mlp2_big; holdout 1.682834->1.672969
my26	1.671085	fine blend clean {'mlp2_big_cal': 0.532913700365246, 'mlp2_final_cal': 0.31656664071320795, 'c_xtw_s42': 0.10880939199147914, 'twdeep': 0.0, 'c_ts2_s42': 0.041710266930067005, 'seq2tr_f': 0.0}
twl_repair_ab	1.692719	lgb/log_mse
whale_smoke	1.671013	whale gate over my26 (base=1.671085); honest 2-fold; folds=[(2.0, 0.99), (3.0, 0.99)] full=(a=3.0,q=0.99); gated=0.010 mean_g=0.317; auc=0.8928; topq=0.95 specq=0.8 gmax=0.6 anchors=1 gap30
mlpbin	1.676423	binned-mlp k31 ls0.0 512,256 do0.15 lr0.001 bs8192 gap30 seeds=42,1337,7 14anch ep=[1, 3, 7]
mlpbin_cal	1.668802	binned log-shift calibration of mlpbin; holdout 1.676680->1.669300
my27	1.668510	assemble_final blend {'mlpbin_cal': 0.8950248969925666, 'mlp2_big_cal': 0.018860334975034306, 'c_xtw_s42': 0.030735718406486055, 'seq2tr_f': 0.055379049625912925}
mlpziln	1.677806	ziln-mlp 512,256 bce_w1.0 do0.15 lr0.001 bs8192 gap30 seeds=42,1337,7 14anch ep=[1, 4, 7]
mlpziln_cal	1.668739	binned log-shift calibration of mlpziln; holdout 1.678165->1.669193
twl_seqoof	1.693647	twl champion cfg + seqoof feat, n8
fusion	1.689272	fusion conv7-tr2 + tab196 hurdle bce_w0.7 aux0.3 do0.15 b2048 lr0.001 wd1e-05 ep6 seeds=42 best_steps=[5904] per_seed=[1.68927]
whale_final	1.670985	whale gate over my26 (base=1.671085); honest 2-fold; folds=[(3.0, 0.99), (4.0, 0.99)] full=(a=3.0,q=0.99); gated=0.010 mean_g=0.404; auc=0.8927; champion tweedie-on-log on 85 money-free count-free behaviour feats, 118 cols dropped by rule
fusion_s7	1.703699	fusion conv7-tr2 + tab203 hurdle bce_w0.7 aux0.3 do0.15 b2048 lr0.001 wd1e-05 ep3 seeds=7 best_steps=[2952] per_seed=[1.7037]
twl_v6	1.693378	twl champion cfg + v6 renewal/hazard tier
mlpbin_v6	1.677845	mlpbin + v6 renewal/hazard tier
channel2_smoke	1.690752	SMOKE 2 anchors 200 trees; 2ch sum-expm1 tw1.45-on-log; search=1.6829 cat=0.8670 it=64/80; direct_champ=1.6927 d=-0.0019
